"Name.of.Covered.Entity","State","Covered.Entity.Type","Individuals.Affected","Breach.Submission.Date","Type.of.Breach","Location.of.Breached.Information"
"Women's Care Florida, LLC","FL","Healthcare Provider",528188,2019-09-25,"Hacking/IT Incident","Network Server"
"SEES Group, LLC","TN","Healthcare Provider",13000,2019-12-31,"Hacking/IT Incident","Email"
"Life Line Screening of America, Ltd.","TX","Healthcare Provider",2802,2019-12-30,"Hacking/IT Incident","Network Server"
"Ann & Robert H. Lurie Children's Hospital of Chicago","IL","Healthcare Provider",4195,2019-12-26,"Unauthorized Access/Disclosure","Electronic Medical Record"
"btyDENTAL","AK","Healthcare Provider",2008,2019-12-26,"Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Email, Network Server"
"San Francisco Department of Public Health - Zuckerberg SF General Hospital","CA","Healthcare Provider",1174,2019-12-16,"Improper Disposal","Paper/Films"
"AFLAC","GA","Health Plan",1601,2019-12-16,"Unauthorized Access/Disclosure","Network Server"
"Texas Children's Hospital","TX","Healthcare Provider",597,2019-12-16,"Unauthorized Access/Disclosure","Paper/Films"
"North Ottawa Community Health System","MI","Healthcare Provider",4013,2019-12-16,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Colorado Department of Human Services","CO","Healthcare Provider",12230,2019-12-16,"Unauthorized Access/Disclosure","Other"
"Western Health Advantage","CA","Health Plan",869,2019-12-13,"Unauthorized Access/Disclosure","Network Server"
"Prestige Health Choice","FL","Health Plan",4665,2019-12-13,"Unauthorized Access/Disclosure","Other Portable Electronic Device"
"Therapeutic Oasis of the Palm Beaches LLC","FL","Healthcare Provider",1100,2019-12-13,"Theft","Desktop Computer"
"Aetna affiliated covered entity (ACE)","CT","Health Plan",5991,2019-12-13,"Hacking/IT Incident","Email"
"Cheyenne Regional Medical Center","WY","Healthcare Provider",17549,2019-12-10,"Hacking/IT Incident","Email"
"Starmount Life Insurance Company","LA","Health Plan",630,2019-12-09,"Hacking/IT Incident","Email"
"Family Care Medical Specialists Group, Inc.","CA","Healthcare Provider",2490,2019-12-08,"Unauthorized Access/Disclosure","Paper/Films"
"Truman Medical Center, Incorporated","MO","Healthcare Provider",114466,2019-12-05,"Theft","Laptop"
"Conway Medical Center","SC","Healthcare Provider",2550,2019-12-05,"Hacking/IT Incident","Electronic Medical Record, Email"
"Katherine Shaw Bethea Hospital ","IL","Healthcare Provider",3983,2019-11-30,"Hacking/IT Incident","Email"
"San Francisco VA Health Care System","CA","Healthcare Provider",735,2019-11-29,"Theft","Other, Paper/Films"
"Beer Industry - Local Union No. 703 Health and Welfare Fund","IL","Health Plan",9279,2019-11-28,"Unauthorized Access/Disclosure","Email"
"Loudoun Medical Group d/b/a Comprehensive Sleep Care Center (""CSCC"")","VA","Healthcare Provider",15575,2019-11-27,"Hacking/IT Incident","Email"
"Upper Peninsula Health Plan","MI","Health Plan",812,2019-11-25,"Hacking/IT Incident","Email"
"La Clinica de La Raza, Inc.","CA","Healthcare Provider",2477,2019-11-22,"Theft","Other Portable Electronic Device"
"Elizabeth Family Health ","CO","Healthcare Provider",28375,2019-11-22,"Theft","Paper/Films"
"Ronald E. Rosenbaum DMD, PA","FL","Healthcare Provider",1522,2019-11-21,"Hacking/IT Incident","Paper/Films"
"Medical Park Family Care, Inc.","AK","Healthcare Provider",500,2019-11-18,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Choice Cancer Care","TX","Healthcare Provider",14673,2019-11-15,"Hacking/IT Incident","Email"
"Ascension Borgess Hospital ","MI","Healthcare Provider",996,2019-11-14,"Unauthorized Access/Disclosure","Email"
"Gateway Health Plan LP","PA","Health Plan",753,2019-11-14,"Hacking/IT Incident","Email"
"SALIH M MAYALIDAG DENTAL CORP","CA","Healthcare Provider",6000,2019-11-12,"Hacking/IT Incident","Network Server"
"Starling Physicians, P.C.","CT","Healthcare Provider",977,2019-11-11,"Hacking/IT Incident","Email"
"Arizona Dental Insurance Services, Inc. d.b.a. Delta Dental of Arizona","AZ","Health Plan",24769,2019-11-08,"Hacking/IT Incident","Email"
"Main Street Clinical Associates","NC","Healthcare Provider",3031,2019-11-08,"Unauthorized Access/Disclosure","Laptop, Other Portable Electronic Device, Paper/Films"
"Kaiser Foundation Health Plan (Kaiser Permanente)","CA","Health Plan",515,2019-11-07,"Unauthorized Access/Disclosure","Paper/Films"
"Aegis Medical Group","FL","Healthcare Provider",9800,2019-11-07,"Unauthorized Access/Disclosure","Electronic Medical Record, Laptop, Network Server, Paper/Films"
"Evergreen Psychological Services","TX","Healthcare Provider",4174,2019-11-01,"Theft","Desktop Computer"
"Utah Valley Eye Center","UT","Healthcare Provider",20418,2019-11-01,"Hacking/IT Incident","Desktop Computer"
"Prisma Health - Midlands","SC","Healthcare Provider",19060,2019-10-28,"Hacking/IT Incident","Other"
"The Guidance Center ","CA","Healthcare Provider",1189,2019-10-28,"Hacking/IT Incident","Email"
"Children's Minnesota","MN","Healthcare Provider",37942,2019-10-25,"Unauthorized Access/Disclosure","Network Server"
"Delta Dental of Illinois","IL","Health Plan",15466,2019-10-25,"Hacking/IT Incident","Email"
" Virginia Department of Behavioral Health & Developmental Services","VA","Healthcare Provider",1442,2019-10-25,"Unauthorized Access/Disclosure","Network Server"
"The Kroger Co., for itself and its affiliates and subsidiaries","OH","Healthcare Provider",4812,2019-10-25,"Loss","Paper/Films"
"The Kroger Co., for itself and its affiliates and subsidiaries","OH","Healthcare Provider",2752,2019-10-25,"Loss","Paper/Films"
"The Affiliated Sante Group","MD","Healthcare Provider",679,2019-10-24,"Theft","Laptop"
"Greater Cincinnati Pathologists, Inc.","OH","Healthcare Provider",7725,2019-10-23,"Hacking/IT Incident","Email"
"Texas Health Harris Methodist Hospital Hurst-Euless-Bedford","TX","Healthcare Provider",4804,2019-10-22,"Unauthorized Access/Disclosure","Other"
"Texas Health Presbyterian Hospital Dallas","TX","Healthcare Provider",12415,2019-10-22,"Unauthorized Access/Disclosure","Other"
"Texas Health Harris Methodist Hospital Alliance","TX","Healthcare Provider",3784,2019-10-22,"Unauthorized Access/Disclosure","Other"
"Texas Health Presbyterian Hospital Denton","TX","Healthcare Provider",6688,2019-10-22,"Unauthorized Access/Disclosure","Other"
"Texas Health Harris Methodist Hospital Azle","TX","Healthcare Provider",2113,2019-10-22,"Unauthorized Access/Disclosure","Other"
"Texas Health Harris Methodist Hospital Cleburne","TX","Healthcare Provider",2737,2019-10-22,"Unauthorized Access/Disclosure","Other"
"Texas Health Harris Methodist Hospital Southwest Fort Worth","TX","Healthcare Provider",7478,2019-10-22,"Unauthorized Access/Disclosure","Other"
"Texas Health Presbyterian Hospital Rockwall","TX","Healthcare Provider",4789,2019-10-22,"Unauthorized Access/Disclosure","Other"
"Texas Health Harris Methodist Hospital Stephenville","TX","Healthcare Provider",1348,2019-10-22,"Unauthorized Access/Disclosure","Other"
"Texas Health Harris Methodist Southlake","TX","Healthcare Provider",525,2019-10-22,"Unauthorized Access/Disclosure","Other"
"Texas Health Arlington Memorial","TX","Healthcare Provider",6187,2019-10-22,"Unauthorized Access/Disclosure","Other"
"Texas Health Presbyterian Hospital Plano","TX","Healthcare Provider",9678,2019-10-22,"Unauthorized Access/Disclosure","Other"
" Texas Health Harris Methodist Hospital Kaufman","TX","Healthcare Provider",2157,2019-10-22,"Unauthorized Access/Disclosure","Other"
"Texas Health Harris Methodist Hospital Fort Worth","TX","Healthcare Provider",14881,2019-10-22,"Unauthorized Access/Disclosure","Other"
"Texas Health Presbyterian Hospital Allen","TX","Healthcare Provider",2993,2019-10-22,"Unauthorized Access/Disclosure","Other"
"Self Regional Healthcare","SC","Healthcare Provider",52327,2019-10-21,"Hacking/IT Incident","Email"
"United States Medical Supply, LLC.","FL","Healthcare Provider",674,2019-10-18,"Unauthorized Access/Disclosure","Email"
"Roswell Park Comprehensive Cancer Center","NY","Healthcare Provider",584,2019-10-18,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Artesia General Hospital","NM","Healthcare Provider",858,2019-10-17,"Hacking/IT Incident","Desktop Computer"
"Seattle Cancer Care Alliance","WA","Healthcare Provider",944,2019-10-16,"Unauthorized Access/Disclosure","Email"
"LaBorde Therapy Center LLC","LA","Healthcare Provider",7000,2019-10-16,"Hacking/IT Incident","Email"
"Southern New Mexico Neurosurgery LLC","NM","Healthcare Provider",11754,2019-10-14,"Improper Disposal","Electronic Medical Record, Network Server"
"Monterey Health Center","OR","Healthcare Provider",5400,2019-10-11,"Hacking/IT Incident","Network Server"
"Magnolia Pediatrics","LA","Healthcare Provider",11100,2019-10-09,"Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Email, Network Server"
"South Texas Dermatopathology Laboratory","TX","Healthcare Provider",15982,2019-10-07,"Hacking/IT Incident","Network Server"
"Arkansas Health Group","AR","Healthcare Provider",903,2019-10-07,"Unauthorized Access/Disclosure","Other"
"Euphemia R. Brumskine, MD, LLC","MD","Healthcare Provider",850,2019-10-04,"Hacking/IT Incident","Laptop"
"The Methodist Hospitals, Inc.","IN","Healthcare Provider",68039,2019-10-04,"Hacking/IT Incident","Email"
"Gary Smith and assoc inc DBA gary smith agency","MS","Health Plan",2000,2019-10-04,"Unauthorized Access/Disclosure","Other"
"Defense Health Headquarters","VA","Health Plan",3500,2019-10-04,"Unauthorized Access/Disclosure","Electronic Medical Record"
"San Francisco Department of Public Health","CA","Healthcare Provider",622,2019-10-03,"Unauthorized Access/Disclosure","Paper/Films"
"University of Alabama at Birmingham","AL","Healthcare Provider",19557,2019-10-03,"Hacking/IT Incident","Email"
"Sioux Falls VA Health Care System","SD","Healthcare Provider",564,2019-10-01,"Unauthorized Access/Disclosure","Paper/Films"
"Telecare Corporation","CA","Healthcare Provider",823,2019-09-30,"Hacking/IT Incident","Email"
"Goshen Health ","IN","Healthcare Provider",9160,2019-09-30,"Hacking/IT Incident","Email"
"Beatitudes Campus ","AZ","Healthcare Provider",514,2019-09-27,"Hacking/IT Incident","Email"
"Cancer Treatment Centers of America (CTCA) at Southeastern Regional Medical Center","GA","Healthcare Provider",3290,2019-09-27,"Hacking/IT Incident","Email"
"Kaiser Permanente","CA","Healthcare Provider",990,2019-09-26,"Hacking/IT Incident","Email"
"Perfect Teeth Yale, P.C.","CO","Healthcare Provider",15000,2019-09-19,"Loss","Other Portable Electronic Device"
"Chirobody","WA","Healthcare Provider",525,2019-09-19,"Unauthorized Access/Disclosure","Desktop Computer"
"Premier Gastroenterology Specialists","OH","Healthcare Provider",1260,2019-09-18,"Unauthorized Access/Disclosure","Paper/Films"
"Wood Ranch Medical","CA","Healthcare Provider",5835,2019-09-18,"Hacking/IT Incident","Network Server"
"Little Rock Plastic Surgery, P.A.","AR","Healthcare Provider",6300,2019-09-18,"Unauthorized Access/Disclosure","Email"
"Paragon Health, P.C.","MI","Healthcare Provider",4674,2019-09-16,"Hacking/IT Incident","Email"
"Bates Technical College","WA","Healthcare Provider",2112,2019-09-13,"Hacking/IT Incident","Network Server"
"Sweetser ","ME","Healthcare Provider",22000,2019-09-13,"Hacking/IT Incident","Email"
"Kilgore Vision Center","AR","Healthcare Provider",46353,2019-09-13,"Hacking/IT Incident","Network Server"
"Rocky Mountain Health Maintenance Organization, Inc.","CO","Health Plan",1835,2019-09-12,"Unauthorized Access/Disclosure","Paper/Films"
"Peoples Injury Network Northwest","WA","Healthcare Provider",27000,2019-09-12,"Hacking/IT Incident","Network Server"
"Sarrell Dental","AL","Healthcare Provider",363617,2019-09-12,"Hacking/IT Incident","Network Server"
"Pima County","AZ","Health Plan",1498,2019-09-12,"Hacking/IT Incident","Email"
"June E. Nylen Cancer Center","IA","Healthcare Provider",927,2019-09-11,"Hacking/IT Incident","Email"
"Cristo Rey Community Center - Family Health Center","MI","Healthcare Provider",1500,2019-09-10,"Hacking/IT Incident","Network Server"
"Lindner Center of Hope","OH","Healthcare Provider",3537,2019-09-09,"Hacking/IT Incident","Email"
"Berry Family Services","TX","Healthcare Provider",1751,2019-09-08,"Hacking/IT Incident","Network Server"
"Premier Family Medical","UT","Healthcare Provider",320000,2019-09-07,"Hacking/IT Incident","Network Server"
"Prisma - Midlands ","SC","Healthcare Provider",2770,2019-09-06,"Theft","Paper/Films"
"Shore Specialty Consultants Pulmonology Group","NJ","Healthcare Provider",9700,2019-09-06,"Hacking/IT Incident","Desktop Computer, Network Server"
"Alive Hospice","TN","Healthcare Provider",533,2019-09-06,"Unauthorized Access/Disclosure","Paper/Films"
"Simmons Family Chiropractic","GA","Healthcare Provider",2000,2019-09-06,"Theft","Laptop, Other Portable Electronic Device"
"Health Care Service Corporation","IL","Health Plan",998,2019-09-06,"Unauthorized Access/Disclosure","Paper/Films"
"Rural Health Access Corporation dba Coalfield Health Center","WV","Healthcare Provider",874,2019-09-06,"Unauthorized Access/Disclosure","Email"
"UC Health","OH","Healthcare Provider",95339,2019-09-04,"Hacking/IT Incident","Email"
"East Central Indiana School Trust","IN","Health Plan",3259,2019-09-03,"Hacking/IT Incident","Email"
"Fraser","MN","Healthcare Provider",2890,2019-08-30,"Hacking/IT Incident","Email"
"Fedcap Rehabilitation Services, Inc.","NY","Healthcare Provider",2158,2019-08-29,"Hacking/IT Incident","Email"
"Artesia General Hospital","NM","Healthcare Provider",13905,2019-08-27,"Hacking/IT Incident","Email"
"Employers and Laborers Locals 100 and 397 Health & Welfare Fund","MO","Health Plan",560,2019-08-26,"Hacking/IT Incident","Email"
"The Cardiovascular Group","GA","Healthcare Provider",2168,2019-08-23,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Choctaw Nation Health Services Authority","OK","Healthcare Provider",550,2019-08-23,"Hacking/IT Incident","Email"
"Conway Regional Health System","AR","Healthcare Provider",37000,2019-08-23,"Hacking/IT Incident","Email"
"Navicent Health, Inc. ","GA","Healthcare Provider",1357,2019-08-23,"Hacking/IT Incident","Email"
"The Carle Foundation Hospital","IL","Healthcare Provider",1653,2019-08-22,"Hacking/IT Incident","Email"
"NorthStar Anesthesia, P.A.","TX","Healthcare Provider",19807,2019-08-22,"Unauthorized Access/Disclosure","Paper/Films"
"Massachusetts General Hospital","MA","Healthcare Provider",9900,2019-08-22,"Hacking/IT Incident","Network Server"
"Wilson County Memorial Hospital District dba Connally Memorial Medical Center","TX","Healthcare Provider",7358,2019-08-19,"Theft","Laptop"
"Western Connecticut Health Network","CT","Healthcare Provider",1293,2019-08-19,"Unauthorized Access/Disclosure","Paper/Films"
"Cleveland Clinic Foundation","OH","Healthcare Provider",604,2019-08-19,"Loss","Other Portable Electronic Device"
"Virginia Gay Hospital ","IA","Healthcare Provider",5030,2019-08-16,"Hacking/IT Incident","Email"
"Hospice of San Joaquin","CA","Healthcare Provider",13000,2019-08-16,"Hacking/IT Incident","Network Server"
"Rhode Island Ear, Nose and Throat Physicians, Inc.","RI","Healthcare Provider",2943,2019-08-16,"Hacking/IT Incident","Network Server"
"University of Michigan/Michigan Medicine","MI","Healthcare Provider",5466,2019-08-16,"Hacking/IT Incident","Email"
"Community Psychiatric Clinic","WA","Healthcare Provider",5866,2019-08-15,"Hacking/IT Incident","Email"
"Community Psychiatric Clinic","WA","Healthcare Provider",6641,2019-08-15,"Hacking/IT Incident","Email"
"Community Psychiatric Clinic","WA","Healthcare Provider",3030,2019-08-15,"Hacking/IT Incident","Email"
"Fairfield Medical Center","OH","Healthcare Provider",1182,2019-08-15,"Unauthorized Access/Disclosure","Paper/Films"
"Fairfield Medical Center","OH","Healthcare Provider",1182,2019-08-15,"Unauthorized Access/Disclosure","Paper/Films"
"Bayview Dental","MN","Healthcare Provider",1938,2019-08-13,"Hacking/IT Incident","Network Server"
"Grays Harbor Community Hospital","WA","Healthcare Provider",88399,2019-08-12,"Hacking/IT Incident","Electronic Medical Record, Network Server, Other"
"Quorum Health","TN","Healthcare Provider",1269,2019-08-11,"Unauthorized Access/Disclosure","Email"
"Primary Medicine of Sherman, PA/Robert J. Hernandez MD","TX","Healthcare Provider",1335,2019-08-11,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Harbor Health Services, Inc.","MA","Healthcare Provider",750,2019-08-09,"Hacking/IT Incident","Email"
"Renown Health","NV","Healthcare Provider",27004,2019-08-09,"Loss","Other Portable Electronic Device"
"Walmart Inc.","AR","Healthcare Provider",4738,2019-08-09,"Loss","Paper/Films"
"Timothee T. Wilkin, D.O.","AR","Healthcare Provider",15113,2019-08-09,"Hacking/IT Incident","Electronic Medical Record, Network Server"
"Cancer Center of Kansas","KS","Healthcare Provider",773,2019-08-09,"Hacking/IT Incident","Network Server"
"Enlightened Solutions LLC","NJ","Healthcare Provider",844,2019-08-09,"Hacking/IT Incident","Email"
"IlliniCare Health Plan, Inc.","IL","Health Plan",3517,2019-08-09,"Unauthorized Access/Disclosure","Desktop Computer, Other"
"Fire Department City of New York","NY","Healthcare Provider",10292,2019-08-09,"Theft","Other Portable Electronic Device"
"Wisconsin Department of Corrections","WI","Healthcare Provider",1041,2019-08-08,"Unauthorized Access/Disclosure","Email"
"Community Health Choice, Inc.","TX","Health Plan",7855,2019-08-08,"Unauthorized Access/Disclosure","Paper/Films"
"Michael Amaro, MD, PA","TX","Healthcare Provider",500,2019-08-08,"Unauthorized Access/Disclosure","Electronic Medical Record, Other, Paper/Films"
"Drexel Medicine","PA","Healthcare Provider",4340,2019-08-07,"Hacking/IT Incident","Email"
"West Hills Hospital & Medical Center","CA","Healthcare Provider",10650,2019-08-06,"Hacking/IT Incident","Network Server"
"One Care Medical, LLC","VA","Healthcare Provider",634,2019-08-06,"Hacking/IT Incident","Desktop Computer"
"Integrated Regional Laboratories, LLC","FL","Healthcare Provider",29644,2019-08-05,"Hacking/IT Incident","Network Server"
"Wisconsin Diagnostic Laboratories","WI","Healthcare Provider",114985,2019-08-02,"Hacking/IT Incident","Other"
"University of Missouri Health Care","MO","Healthcare Provider",14402,2019-08-02,"Hacking/IT Incident","Email"
"Mount Sinai Hospital ","NY","Healthcare Provider",33730,2019-08-02,"Hacking/IT Incident","Other"
"Presbyterian Healthcare Services","NM","Healthcare Provider",183370,2019-08-02,"Hacking/IT Incident","Email"
"BioReference Laboratories Inc. ","NJ","Healthcare Provider",425749,2019-07-30,"Hacking/IT Incident","Other"
"CompuNet Clinical Laboratories, LLC","OH","Healthcare Provider",111555,2019-07-26,"Hacking/IT Incident","Other"
"Walmart Inc.","AR","Healthcare Provider",3135,2019-07-26,"Loss","Paper/Films"
"Fordland Clinic Inc.","MO","Healthcare Provider",881,2019-07-26,"Hacking/IT Incident","Email"
"Perry County Medical Center Inc. d/b/a Three Rivers Community Health Group","TN","Healthcare Provider",3812,2019-07-26,"Hacking/IT Incident","Email"
"Laboratory of Dermatopathology","NY","Healthcare Provider",4082,2019-07-25,"Hacking/IT Incident","Network Server"
"Arizona Dermatopathology","AZ","Healthcare Provider",5903,2019-07-25,"Hacking/IT Incident","Network Server"
"Laboratory Medicine Consultants, Ltd.","NV","Healthcare Provider",140590,2019-07-25,"Hacking/IT Incident","Network Server"
"Seacoast Pathology","NH","Healthcare Provider",8992,2019-07-25,"Hacking/IT Incident","Network Server"
"Austin Pathology","TX","Healthcare Provider",43676,2019-07-25,"Hacking/IT Incident","Network Server"
"Western Pathology","NV","Healthcare Provider",4079,2019-07-25,"Hacking/IT Incident","Network Server"
"Pathology Solutions, LLC","NJ","Healthcare Provider",13270,2019-07-25,"Hacking/IT Incident","Network Server"
"Hennepin Healthcare System, Inc. dba Hennepin Healthcare","MN","Healthcare Provider",820,2019-07-25,"Hacking/IT Incident","Email"
"Susan Marshall, M.D.,PC","NY","Healthcare Provider",743,2019-07-25,"Theft","Laptop"
"Temple University Health System","PA","Healthcare Provider",2399,2019-07-25,"Hacking/IT Incident","Email"
"Wayne County Board of Developmental Disabilities","OH","Healthcare Provider",536,2019-07-25,"Hacking/IT Incident","Network Server"
"Cosmetic Surgery Specialists, P.C.","PA","Healthcare Provider",3000,2019-07-23,"Improper Disposal","Paper/Films"
"City of Philadelphia","PA","Health Plan",1458,2019-07-19,"Loss","Laptop"
"Security Health Plan of Wisconsin, Inc. ","WI","Health Plan",3657,2019-07-19,"Hacking/IT Incident","Email"
"Imperial Health, LLP","LA","Healthcare Provider",116262,2019-07-18,"Hacking/IT Incident","Desktop Computer, Network Server"
"Rockville Eye Surgery Center LLC dba Palisades Eye Surgery Center","MD","Healthcare Provider",2696,2019-07-17,"Hacking/IT Incident","Email"
"Associates in Dermatology, PLLC","KY","Healthcare Provider",9020,2019-07-16,"Hacking/IT Incident","Email"
"Comprehensive Cancer Centers of Nevada","NV","Healthcare Provider",2251,2019-07-16,"Theft","Paper/Films"
"Brewer Porch Children's Center / The University of Alabama","AL","Healthcare Provider",727,2019-07-16,"Hacking/IT Incident","Network Server"
"Sunrise Medical Laboratories, Inc.","NY","Healthcare Provider",401901,2019-07-15,"Hacking/IT Incident","Network Server"
"CBLPath, Inc.","NY","Healthcare Provider",141956,2019-07-15,"Unauthorized Access/Disclosure","Network Server"
"Clinical Pathology Laboratories, Inc.","TX","Healthcare Provider",1733836,2019-07-15,"Hacking/IT Incident","Network Server"
"Colorado Eye Center","CO","Healthcare Provider",4478,2019-07-15,"Hacking/IT Incident","Other"
"Memphis Pathology Laboratory d/b/a American Esoteric Laboratories","TN","Healthcare Provider",409789,2019-07-15,"Unauthorized Access/Disclosure","Network Server"
"Natera, Inc.","CA","Healthcare Provider",3035,2019-07-15,"Hacking/IT Incident","Network Server"
"Laboratory Corporation of America Holdings dba LabCorp","NC","Healthcare Provider",10251784,2019-07-13,"Hacking/IT Incident","Network Server"
"Wise Health System ","TX","Healthcare Provider",35899,2019-07-13,"Hacking/IT Incident","Email"
"Rogerson House, Inc.","MA","Healthcare Provider",500,2019-07-12,"Hacking/IT Incident","Network Server"
"CentraCare Health System","MN","Healthcare Provider",2085,2019-07-12,"Hacking/IT Incident","Network Server"
"Penobscot Community Health Center, Inc.","ME","Healthcare Provider",13299,2019-07-12,"Hacking/IT Incident","Other"
"Cancer Treatment Centers of America (CTCA) at Eastern Regional Medical Center","PA","Healthcare Provider",3904,2019-07-12,"Hacking/IT Incident","Email"
"Cancer Treatment Centers of America (CTCA) at Southeastern Regional Medical Center","GA","Healthcare Provider",4559,2019-07-12,"Hacking/IT Incident","Email"
"Hunt Regional Medical Center","TX","Healthcare Provider",3700,2019-07-12,"Hacking/IT Incident","Network Server"
"CareCentrix, Inc.","CT","Healthcare Provider",467621,2019-07-11,"Hacking/IT Incident","Network Server"
"Essentia Health - Duluth","MN","Healthcare Provider",1377,2019-07-10,"Hacking/IT Incident","Email"
"St. Croix Hospice","MN","Healthcare Provider",21407,2019-07-09,"Hacking/IT Incident","Email"
"Ameritas Life Insurance Corp.","NE","Health Plan",39675,2019-07-08,"Hacking/IT Incident","Email"
"RGH Enterprises, Inc. d/b/a Edgepark Medical Supplies ","OH","Healthcare Provider",6572,2019-07-05,"Hacking/IT Incident","Network Server"
"Alive Hospice","TN","Healthcare Provider",608,2019-07-03,"Hacking/IT Incident","Email"
"Mercy Health System Corporation","WI","Healthcare Provider",5946,2019-07-02,"Hacking/IT Incident","Email"
"Memorial Hermann Health System","TX","Healthcare Provider",507,2019-07-02,"Unauthorized Access/Disclosure","Email"
